Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"The Hobbit Paperback – September 18, 2012",9.50,Books > Children's Books > Science Fiction & Fantasy,J. R. R. Tolkien,054792822X,300,"Houghton Mifflin Harcourt (September 18, 2012)",English,5.5 x 0.8 x 8.2 inches,9.6 ounces,4.7
"Her Body and Other Parties: Stories Paperback – October 3, 2017",10.69,Books > Literature & Fiction > Short Stories & Anthologies,Carmen Maria Machado,155597788X,248,"Graywolf Press; 1st Edition edition (October 3, 2017)",English,5.6 x 0.8 x 8.2 inches,12 ounces,4.2
"Dark Sacred Night (A Bosch and Ballard Novel) Hardcover – October 30, 2018",26.10,"Books > Mystery, Thriller & Suspense > Mystery",Michael Connelly,316484806,,"Little, Brown and Company (October 30, 2018)",English,,1.7 pounds,
"The 17th Suspect (Women's Murder Club) Hardcover – April 30, 2018",18.90,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,316274046,,"Little, Brown and Company (April 30, 2018)",English,1.1 x 1.1 inches,1.7 pounds,4.5
"Raspberry Danish Murder (A Hannah Swensen Mystery) Hardcover – February 27, 2018",14.69,"Books > Mystery, Thriller & Suspense > Mystery",Joanne Fluke,1617732249,,"Kensington (February 27, 2018)",English,5.8 x 1.3 x 8.6 inches,1 pounds,3.9
"Robert B. Parker's Colorblind (A Jesse Stone Novel) Hardcover – September 11, 2018",24.30,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Reed Farrel Coleman,399574948,,"G.P. Putnam's Sons (September 11, 2018)",English,6 x 1.1 x 9 inches,1.3 pounds,
"The Dark Tower VI: Song of Susannah (The Dark Tower, Book 6) Mass Market Paperback – May 23, 2006",6.82,Books > Literature & Fiction > Genre Fiction,Stephen King,1416521496,560,"Pocket Books; Reissue edition (June 1, 2006)",English,7.6 x 4.2 x 1.4 inches,12.6 ounces,4.4
"The Long Way Home: A Chief Inspector Gamache Novel Paperback – July 28, 2015",13.73,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,1250022053,400,"Minotaur Books; Reprint edition (July 28, 2015)",English,5.5 x 1.1 x 8.2 inches,12 ounces,4.2
"The Nature of the Beast: A Chief Inspector Gamache Novel Paperback – July 26, 2016",10.87,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,125002210X,400,"Minotaur Books; Reprint edition (July 26, 2016)",English,5.4 x 1.1 x 8.3 inches,12 ounces,4.6
"Stillhouse Lake (Stillhouse Lake Series) Paperback – July 1, 2017",9.94,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Rachel Caine,1477848665,300,"Thomas & Mercer; First Edition edition (July 1, 2017)",English,5.5 x 1 x 8.2 inches,14.1 ounces,4.5
